AGV_Id,t1,t2,t3,t4
agv2,1736949535.7128763,1736949535.7178774,1736949535.7178774,1736949535.7188754
agv2,1736949607.9712927,1736949607.9742815,1736949607.9742815,1736949607.9742815
agv2,1736949671.1293163,1736949671.1312811,1736949671.1312811,1736949671.1322815
agv2,1736949742.7252445,1736949742.7282465,1736949742.7282465,1736949742.7292457
agv2,1736949796.9057703,1736949796.9077792,1736949796.9077792,1736949796.9082813
agv2,1736949853.2288668,1736949853.2308764,1736949853.2318707,1736949853.2318707
agv2,1736949907.969295,1736949907.9722974,1736949907.9722974,1736949907.9732955
agv2,1736949972.356642,1736949972.359643,1736949972.359643,1736949972.3606467
agv2,1736950022.69127,1736950022.6928074,1736950022.6928074,1736950022.6937134
agv2,1736950032.8417835,1736950032.8507638,1736950032.8507638,1736950032.8541772
agv2,1736950095.4886599,1736950095.4913564,1736950095.4913564,1736950095.491745
agv2,1736950137.6065264,1736950137.6101015,1736950137.6106474,1736950137.6111627
agv2,1736950191.8574424,1736950191.8595357,1736950191.8595357,1736950191.860043
agv2,1736950234.8795815,1736950234.8825815,1736950234.8825815,1736950234.8825815
agv2,1736950291.171856,1736950291.1735587,1736950291.1735587,1736950291.1735587
agv2,1736950309.8719864,1736950309.8825016,1736950309.8825016,1736950309.8875015
agv2,1736950367.6412306,1736950367.647583,1736950367.647583,1736950367.6487188
