AGV_Id,t1,t2,t3,t4
agv2,1736949535.7318754,1736949535.7338753,1736949535.7338753,1736949535.7358785
agv2,1736949542.0365524,1736949542.0405517,1736949542.0415502,1736949542.0425482
agv2,1736949557.8220747,1736949557.8276238,1736949557.828165,1736949557.829243
agv2,1736949562.9630003,1736949562.9674988,1736949562.9674988,1736949562.9680614
agv2,1736949595.3816864,1736949595.385688,1736949595.385688,1736949595.3866847
agv2,1736949607.983103,1736949607.9854028,1736949607.9854028,1736949607.9859273
agv2,1736949617.2971702,1736949617.3011465,1736949617.3011465,1736949617.3024292
agv2,1736949626.6568892,1736949626.6588619,1736949626.6588619,1736949626.6598258
agv2,1736949631.8471859,1736949631.855187,1736949631.855187,1736949631.8561873
agv2,1736949653.894066,1736949653.8980632,1736949653.8980632,1736949653.8990638
agv2,1736949671.1430767,1736949671.1462471,1736949671.1462471,1736949671.1468115
agv2,1736949677.3203337,1736949677.3467093,1736949677.3467093,1736949677.3477106
agv2,1736949699.355193,1736949699.3571942,1736949699.3571942,1736949699.3581934
agv2,1736949704.5960727,1736949704.5990722,1736949704.5990722,1736949704.6000712
agv2,1736949709.7596076,1736949709.7626073,1736949709.7626073,1736949709.7626073
agv2,1736949714.9688458,1736949714.9798717,1736949714.9808674,1736949714.982782
agv2,1736949722.2454324,1736949722.2487497,1736949722.2487497,1736949722.2497458
agv2,1736949742.7413213,1736949742.7443252,1736949742.7443252,1736949742.7443252
agv2,1736949760.247574,1736949760.250862,1736949760.250862,1736949760.2514107
agv2,1736949769.5146914,1736949769.5226922,1736949769.5238345,1736949769.5258143
agv2,1736949774.6469529,1736949774.6501591,1736949774.650694,1736949774.6512334
agv2,1736949779.7726839,1736949779.7760413,1736949779.7760413,1736949779.7765737
agv2,1736949796.9157565,1736949796.9174104,1736949796.9174104,1736949796.9179368
agv2,1736949803.1652713,1736949803.170273,1736949803.170273,1736949803.1722708
agv2,1736949808.3171792,1736949808.32076,1736949808.32076,1736949808.3212914
agv2,1736949813.4847791,1736949813.4857552,1736949813.4867544,1736949813.4867544
agv2,1736949822.756494,1736949822.7584953,1736949822.7584953,1736949822.7595515
agv2,1736949853.239868,1736949853.241868,1736949853.2428684,1736949853.2428684
agv2,1736949871.0335457,1736949871.0369315,1736949871.0369315,1736949871.037988
agv2,1736949880.3325806,1736949880.3357437,1736949880.3357437,1736949880.3366516
agv2,1736949885.4707153,1736949885.4737194,1736949885.4737194,1736949885.4751341
agv2,1736949898.8387856,1736949898.8407853,1736949898.8407853,1736949898.8421373
agv2,1736949907.991077,1736949907.9933093,1736949907.9933093,1736949907.9938548
agv2,1736949914.1173124,1736949914.1203117,1736949914.1203117,1736949914.1213107
agv2,1736949927.5189834,1736949927.5212438,1736949927.5217695,1736949927.5217695
agv2,1736949932.644417,1736949932.647265,1736949932.647265,1736949932.6478088
agv2,1736949937.7680542,1736949937.7707973,1736949937.7707973,1736949937.7711675
agv2,1736949942.8894827,1736949942.8915577,1736949942.8915577,1736949942.892451
agv2,1736949950.0934124,1736949950.0951602,1736949950.0951602,1736949950.0959191
agv2,1736949972.368642,1736949972.3716457,1736949972.3716457,1736949972.372644
agv2,1736949983.7023795,1736949983.7063775,1736949983.7063775,1736949983.7073762
agv2,1736949992.967146,1736949992.978335,1736949992.978335,1736949992.9794998
agv2,1736949998.1036754,1736949998.1058595,1736949998.106384,1736949998.106937
agv2,1736950013.5548067,1736950013.5570107,1736950013.5570107,1736950013.557563
agv2,1736950022.7032902,1736950022.7052898,1736950022.7052898,1736950022.7052898
agv2,1736950032.8904684,1736950032.8942895,1736950032.8942895,1736950032.8952954
agv2,1736950039.032705,1736950039.0353117,1736950039.0353117,1736950039.0355697
agv2,1736950056.5144837,1736950056.518248,1736950056.518248,1736950056.5187788
agv2,1736950063.7170115,1736950063.7190144,1736950063.720013,1736950063.720013
agv2,1736950072.9743283,1736950072.9773211,1736950072.9773211,1736950072.9773211
agv2,1736950086.3643658,1736950086.3669229,1736950086.3669229,1736950086.3672009
agv2,1736950095.500354,1736950095.5025055,1736950095.5025055,1736950095.5030262
agv2,1736950101.6352084,1736950101.637041,1736950101.637041,1736950101.638035
agv2,1736950115.0116386,1736950115.0164733,1736950115.0164733,1736950115.0176306
agv2,1736950124.3078325,1736950124.3123846,1736950124.3123846,1736950124.3134894
agv2,1736950137.620873,1736950137.62246,1736950137.62246,1736950137.6234336
