AGV_Id,t1,t2,t3,t4
agv2,1736949605.9690816,1736949605.9766607,1736949605.9766607,1736949606.0646484
agv2,1736949669.127619,1736949669.1369474,1736949669.1369474,1736949669.184926
agv2,1736949740.7231457,1736949740.779429,1736949740.779429,1736949740.7834308
agv2,1736949794.9038615,1736949794.9562323,1736949794.9562323,1736949795.008148
agv2,1736949851.2272866,1736949851.232502,1736949851.232502,1736949851.3238957
agv2,1736949905.966872,1736949905.9715235,1736949905.9715235,1736949906.0226958
agv2,1736949970.355125,1736949970.3603315,1736949970.3603315,1736949970.450426
agv2,1736950020.6883216,1736950020.7374413,1736950020.7374413,1736950020.7909875
agv2,1736950030.8386245,1736950030.8883104,1736950030.8883104,1736950030.9054825
agv2,1736950093.4865377,1736950093.4941142,1736950093.4941142,1736950093.5456288
agv2,1736950135.603021,1736950135.609023,1736950135.609023,1736950135.7135656
agv2,1736950189.8545885,1736950189.8995695,1736950189.8995695,1736950189.9513733
agv2,1736950232.8778272,1736950232.9282274,1736950232.9282274,1736950232.932229
agv2,1736950289.1697674,1736950289.174761,1736950289.174761,1736950289.2378802
agv2,1736950307.7252584,1736950307.7755754,1736950307.7755754,1736950307.7804368
agv2,1736950365.617241,1736950365.622085,1736950365.622085,1736950365.713692
